N,Time,X_pos,Y_pos,Value
537,42:31,-6.0,1.11,0.1064364
538,42:45,-7.0,0.4675,0.01906386
539,42:48,-7.0,0.4775,0.01529428
540,42:51,-7.0,0.49,0.01616858
541,42:54,-7.0,0.5,0.011079738
542,42:56,-7.0,0.5075,0.0155031
543,42:59,-7.0,0.5175,0.011639488
544,43:02,-7.0,0.5275,0.01442706
545,43:05,-7.0,0.54,0.01407864
546,43:07,-7.0,0.55,0.0141939
547,43:10,-7.0,0.56,0.01355488
548,43:13,-7.0,0.5675,0.011022526
549,43:16,-7.0,0.5775,0.01186658
550,43:18,-7.0,0.5875,0.01274392
551,43:21,-7.0,0.6,0.01119306
552,43:25,-7.0,0.61,0.0136385
553,43:28,-7.0,0.62,0.01458906
554,43:30,-7.0,0.6275,0.01235236
555,43:33,-7.0,0.6375,0.01534892
556,43:36,-7.0,0.6475,0.01440188
557,43:38,-7.0,0.66,0.01511362
558,43:41,-7.0,0.67,0.01687376
559,43:44,-7.0,0.68,0.01508276
560,43:47,-7.0,0.6875,0.01543196
561,43:49,-7.0,0.6975,0.014662
562,43:52,-7.0,0.7075,0.01710954
563,43:55,-7.0,0.72,0.01775364
564,43:58,-7.0,0.73,0.02277118
565,44:00,-7.0,0.74,0.025992499999999998
566,44:03,-7.0,0.75,0.03209898
567,44:05,-7.0,0.7575,0.03602884
568,44:08,-7.0,0.7675,0.04504922
569,44:11,-7.0,0.7775,0.0516319
570,44:13,-7.0,0.79,0.062315499999999996
571,44:16,-7.0,0.8,0.07571194
572,44:19,-7.0,0.81,0.0815287
573,44:22,-7.0,0.8175,0.08831292
574,44:25,-7.0,0.8275,0.09468707999999999
575,44:27,-7.0,0.8375,0.09759254
576,44:30,-7.0,0.85,0.1022974
577,44:33,-7.0,0.86,0.1032892
578,44:36,-7.0,0.87,0.1047732
579,44:38,-7.0,0.8775,0.1060746
580,44:41,-7.0,0.8875,0.1043378
581,44:44,-7.0,0.8975,0.106324
582,44:46,-7.0,0.91,0.10810059999999999
583,44:49,-7.0,0.92,0.1082378
584,44:52,-7.0,0.93,0.1074198
585,44:54,-7.0,0.9375,0.1069038
586,44:57,-7.0,0.9475,0.10707660000000001
587,45:00,-7.0,0.9575,0.1121006
588,45:03,-7.0,0.97,0.1082818
589,45:06,-7.0,0.98,0.106588
590,45:09,-7.0,0.99,0.1051672
591,45:12,-7.0,1.0,0.1092616
592,45:15,-7.0,1.0075,0.1082748
593,45:17,-7.0,1.0175,0.10863
594,45:20,-7.0,1.0275,0.1051714
595,45:22,-7.0,1.0375,0.1079858
596,45:25,-7.0,1.0475,0.1081836
597,45:28,-7.0,1.0575,0.1091312
598,45:31,-7.0,1.07,0.1088546
599,45:33,-7.0,1.08,0.109815
600,45:36,-7.0,1.09,0.1103568
601,45:38,-7.0,1.1,0.1076092
602,45:53,-8.0,0.4475,0.01868696
603,45:55,-8.0,0.46,0.01930014
604,45:58,-8.0,0.4675,0.0173087
605,46:00,-8.0,0.4775,0.0143871
606,46:03,-8.0,0.49,0.0171223
607,46:07,-8.0,0.5,0.01316514
608,46:09,-8.0,0.5075,0.01371806
609,46:12,-8.0,0.5175,0.01416802
610,46:15,-8.0,0.5275,0.01607818
611,46:18,-8.0,0.54,0.01234008
612,46:21,-8.0,0.55,0.01182702
613,46:23,-8.0,0.56,0.011656116
614,46:26,-8.0,0.5675,0.01565772
615,46:29,-8.0,0.5775,0.014125
616,46:33,-8.0,0.5875,0.01592866
617,46:35,-8.0,0.6,0.01537634
618,46:38,-8.0,0.61,0.01204346
619,46:40,-8.0,0.62,0.01693514
620,46:43,-8.0,0.6275,0.0121105
621,46:46,-8.0,0.6375,0.01468902
622,46:49,-8.0,0.6475,0.0164518
623,46:51,-8.0,0.66,0.01545044
